n:1 mse_avg:4458.92 mse_y:6285.25 mse_u:1376.17 mse_v:236.34 psnr_avg:11.64 psnr_y:10.15 psnr_u:16.74 psnr_v:24.40 
n:2 mse_avg:0.10 mse_y:0.10 mse_u:0.08 mse_v:0.08 psnr_avg:58.29 psnr_y:57.92 psnr_u:59.23 psnr_v:59.08 
n:3 mse_avg:0.10 mse_y:0.10 mse_u:0.08 mse_v:0.08 psnr_avg:58.30 psnr_y:57.93 psnr_u:59.26 psnr_v:59.09 
n:4 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.29 psnr_y:57.91 psnr_u:59.25 psnr_v:59.10 
n:5 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.26 psnr_y:57.87 psnr_u:59.24 psnr_v:59.09 
n:6 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.26 psnr_y:57.87 psnr_u:59.23 psnr_v:59.08 
n:7 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.27 psnr_y:57.89 psnr_u:59.23 psnr_v:59.10 
n:8 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.26 psnr_y:57.86 psnr_u:59.24 psnr_v:59.10 
n:9 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.22 psnr_y:57.84 psnr_u:59.17 psnr_v:59.08 
n:10 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.23 psnr_y:57.84 psnr_u:59.24 psnr_v:59.05 
n:11 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.18 psnr_y:57.79 psnr_u:59.19 psnr_v:58.99 
n:12 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.14 psnr_y:57.75 psnr_u:59.16 psnr_v:58.95 
n:13 mse_avg:0.10 mse_y:0.11 mse_u:0.08 mse_v:0.08 psnr_avg:58.16 psnr_y:57.78 psnr_u:59.14 psnr_v:58.97 
