n:1 mse_avg:4461.17 mse_y:6288.13 mse_u:1376.99 mse_v:237.53 psnr_avg:11.64 psnr_y:10.15 psnr_u:16.74 psnr_v:24.37 
n:2 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.76 psnr_y:60.33 psnr_u:61.85 psnr_v:61.71 
n:3 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.78 psnr_y:60.35 psnr_u:61.88 psnr_v:61.72 
n:4 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.76 psnr_y:60.32 psnr_u:61.89 psnr_v:61.74 
n:5 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.74 psnr_y:60.29 psnr_u:61.86 psnr_v:61.75 
n:6 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.77 psnr_y:60.33 psnr_u:61.87 psnr_v:61.73 
n:7 mse_avg:0.05 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.77 psnr_y:60.33 psnr_u:61.86 psnr_v:61.77 
n:8 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.69 psnr_y:60.22 psnr_u:61.89 psnr_v:61.71 
n:9 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.67 psnr_y:60.22 psnr_u:61.76 psnr_v:61.72 
n:10 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.69 psnr_y:60.24 psnr_u:61.82 psnr_v:61.68 
n:11 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.04 psnr_avg:60.57 psnr_y:60.10 psnr_u:61.75 psnr_v:61.62 
n:12 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.05 psnr_avg:60.50 psnr_y:60.04 psnr_u:61.72 psnr_v:61.44 
n:13 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.05 psnr_avg:60.55 psnr_y:60.11 psnr_u:61.66 psnr_v:61.53 
n:14 mse_avg:0.06 mse_y:0.06 mse_u:0.04 mse_v:0.05 psnr_avg:60.56 psnr_y:60.11 psnr_u:61.70 psnr_v:61.52 
n:15 mse_avg:0.06 mse_y:0.06 mse_u:0.05 mse_v:0.05 psnr_avg:60.49 psnr_y:60.08 psnr_u:61.49 psnr_v:61.41 
n:16 mse_avg:0.20 mse_y:0.26 mse_u:0.09 mse_v:0.06 psnr_avg:55.11 psnr_y:53.95 psnr_u:58.37 psnr_v:60.26 
n:17 mse_avg:0.47 mse_y:0.65 mse_u:0.14 mse_v:0.07 psnr_avg:51.45 psnr_y:50.03 psnr_u:56.63 psnr_v:59.57 
n:18 mse_avg:0.96 mse_y:1.33 mse_u:0.28 mse_v:0.16 psnr_avg:48.32 psnr_y:46.90 psnr_u:53.68 psnr_v:56.10 
n:19 mse_avg:2.28 mse_y:3.29 mse_u:0.30 mse_v:0.22 psnr_avg:44.55 psnr_y:42.96 psnr_u:53.31 psnr_v:54.64 
n:20 mse_avg:3.48 mse_y:5.07 mse_u:0.33 mse_v:0.26 psnr_avg:42.72 psnr_y:41.08 psnr_u:52.97 psnr_v:53.97 
n:21 mse_avg:5.23 mse_y:7.69 mse_u:0.35 mse_v:0.28 psnr_avg:40.94 psnr_y:39.27 psnr_u:52.65 psnr_v:53.68 
n:22 mse_avg:6.33 mse_y:9.33 mse_u:0.37 mse_v:0.31 psnr_avg:40.11 psnr_y:38.43 psnr_u:52.44 psnr_v:53.25 
n:23 mse_avg:7.36 mse_y:10.86 mse_u:0.40 mse_v:0.33 psnr_avg:39.46 psnr_y:37.77 psnr_u:52.08 psnr_v:53.00 
n:24 mse_avg:8.97 mse_y:13.26 mse_u:0.43 mse_v:0.33 psnr_avg:38.60 psnr_y:36.90 psnr_u:51.82 psnr_v:52.90 
n:25 mse_avg:11.97 mse_y:17.70 mse_u:0.58 mse_v:0.42 psnr_avg:37.35 psnr_y:35.65 psnr_u:50.51 psnr_v:51.93 
n:26 mse_avg:13.80 mse_y:20.42 mse_u:0.66 mse_v:0.48 psnr_avg:36.73 psnr_y:35.03 psnr_u:49.94 psnr_v:51.32 
n:27 mse_avg:14.95 mse_y:22.11 mse_u:0.73 mse_v:0.53 psnr_avg:36.38 psnr_y:34.69 psnr_u:49.53 psnr_v:50.88 
n:28 mse_avg:16.10 mse_y:23.79 mse_u:0.82 mse_v:0.57 psnr_avg:36.06 psnr_y:34.37 psnr_u:48.98 psnr_v:50.54 
n:29 mse_avg:17.03 mse_y:25.18 mse_u:0.87 mse_v:0.61 psnr_avg:35.82 psnr_y:34.12 psnr_u:48.75 psnr_v:50.25 
n:30 mse_avg:17.89 mse_y:26.44 mse_u:0.94 mse_v:0.62 psnr_avg:35.60 psnr_y:33.91 psnr_u:48.38 psnr_v:50.21 
n:31 mse_avg:19.09 mse_y:28.20 mse_u:1.07 mse_v:0.67 psnr_avg:35.32 psnr_y:33.63 psnr_u:47.84 psnr_v:49.86 
n:32 mse_avg:20.10 mse_y:29.68 mse_u:1.19 mse_v:0.72 psnr_avg:35.10 psnr_y:33.41 psnr_u:47.36 psnr_v:49.56 
n:33 mse_avg:20.52 mse_y:30.24 mse_u:1.35 mse_v:0.79 psnr_avg:35.01 psnr_y:33.33 psnr_u:46.81 psnr_v:49.15 
n:34 mse_avg:20.54 mse_y:30.20 mse_u:1.57 mse_v:0.88 psnr_avg:35.00 psnr_y:33.33 psnr_u:46.17 psnr_v:48.66 
n:35 mse_avg:20.66 mse_y:30.28 mse_u:1.83 mse_v:1.01 psnr_avg:34.98 psnr_y:33.32 psnr_u:45.50 psnr_v:48.08 
n:36 mse_avg:20.85 mse_y:30.54 mse_u:1.92 mse_v:1.04 psnr_avg:34.94 psnr_y:33.28 psnr_u:45.30 psnr_v:47.96 
n:37 mse_avg:21.50 mse_y:31.49 mse_u:1.99 mse_v:1.04 psnr_avg:34.81 psnr_y:33.15 psnr_u:45.15 psnr_v:47.97 
n:38 mse_avg:21.30 mse_y:31.23 mse_u:1.86 mse_v:1.01 psnr_avg:34.85 psnr_y:33.18 psnr_u:45.44 psnr_v:48.07 
n:39 mse_avg:20.74 mse_y:30.42 mse_u:1.80 mse_v:0.95 psnr_avg:34.96 psnr_y:33.30 psnr_u:45.58 psnr_v:48.36 
n:40 mse_avg:20.14 mse_y:29.53 mse_u:1.79 mse_v:0.92 psnr_avg:35.09 psnr_y:33.43 psnr_u:45.61 psnr_v:48.47 
n:41 mse_avg:19.82 mse_y:29.07 mse_u:1.72 mse_v:0.91 psnr_avg:35.16 psnr_y:33.50 psnr_u:45.78 psnr_v:48.53 
