n:39 mse_avg:20.67 mse_y:30.32 mse_u:1.82 mse_v:0.94 psnr_avg:34.98 psnr_y:33.31 psnr_u:45.53 psnr_v:48.41 
n:40 mse_avg:20.06 mse_y:29.42 mse_u:1.81 mse_v:0.91 psnr_avg:35.11 psnr_y:33.44 psnr_u:45.56 psnr_v:48.55 
n:41 mse_avg:19.82 mse_y:29.07 mse_u:1.73 mse_v:0.90 psnr_avg:35.16 psnr_y:33.50 psnr_u:45.75 psnr_v:48.58 
n:42 mse_avg:20.11 mse_y:29.49 mse_u:1.78 mse_v:0.93 psnr_avg:35.10 psnr_y:33.43 psnr_u:45.63 psnr_v:48.45 
n:43 mse_avg:20.43 mse_y:29.97 mse_u:1.73 mse_v:0.93 psnr_avg:35.03 psnr_y:33.36 psnr_u:45.76 psnr_v:48.44 
n:44 mse_avg:21.62 mse_y:31.73 mse_u:1.79 mse_v:0.97 psnr_avg:34.78 psnr_y:33.12 psnr_u:45.59 psnr_v:48.27 
n:45 mse_avg:22.71 mse_y:33.36 mse_u:1.83 mse_v:0.98 psnr_avg:34.57 psnr_y:32.90 psnr_u:45.51 psnr_v:48.22 
n:46 mse_avg:24.71 mse_y:36.34 mse_u:1.88 mse_v:1.01 psnr_avg:34.20 psnr_y:32.53 psnr_u:45.40 psnr_v:48.08 
n:47 mse_avg:26.52 mse_y:39.02 mse_u:1.97 mse_v:1.03 psnr_avg:33.90 psnr_y:32.22 psnr_u:45.18 psnr_v:47.98 
n:48 mse_avg:28.20 mse_y:41.47 mse_u:2.22 mse_v:1.11 psnr_avg:33.63 psnr_y:31.95 psnr_u:44.67 psnr_v:47.69 
n:49 mse_avg:30.67 mse_y:45.11 mse_u:2.43 mse_v:1.19 psnr_avg:33.26 psnr_y:31.59 psnr_u:44.28 psnr_v:47.37 
n:50 mse_avg:35.30 mse_y:51.88 mse_u:2.86 mse_v:1.41 psnr_avg:32.65 psnr_y:30.98 psnr_u:43.57 psnr_v:46.65 
n:51 mse_avg:40.12 mse_y:58.91 mse_u:3.39 mse_v:1.67 psnr_avg:32.10 psnr_y:30.43 psnr_u:42.83 psnr_v:45.91 
n:52 mse_avg:46.02 mse_y:67.57 mse_u:3.92 mse_v:1.92 psnr_avg:31.50 psnr_y:29.83 psnr_u:42.20 psnr_v:45.30 
n:53 mse_avg:53.10 mse_y:78.10 mse_u:4.15 mse_v:2.08 psnr_avg:30.88 psnr_y:29.20 psnr_u:41.95 psnr_v:44.96 
