n:1 mse_avg:4459.30 mse_y:6285.72 mse_u:1376.40 mse_v:236.51 psnr_avg:11.64 psnr_y:10.15 psnr_u:16.74 psnr_v:24.39 
n:2 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.98 psnr_y:54.74 psnr_u:55.42 psnr_v:55.61 
n:3 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.97 psnr_y:54.73 psnr_u:55.39 psnr_v:55.60 
n:4 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.98 psnr_y:54.73 psnr_u:55.40 psnr_v:55.61 
n:5 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.97 psnr_y:54.72 psnr_u:55.42 psnr_v:55.61 
n:6 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.97 psnr_y:54.72 psnr_u:55.41 psnr_v:55.60 
n:7 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.96 psnr_y:54.70 psnr_u:55.41 psnr_v:55.61 
n:8 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.98 psnr_y:54.73 psnr_u:55.42 psnr_v:55.62 
n:9 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.95 psnr_y:54.70 psnr_u:55.39 psnr_v:55.61 
n:10 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.97 psnr_y:54.72 psnr_u:55.42 psnr_v:55.61 
n:11 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.92 psnr_y:54.67 psnr_u:55.40 psnr_v:55.57 
n:12 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.95 psnr_y:54.70 psnr_u:55.41 psnr_v:55.61 
n:13 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.93 psnr_y:54.68 psnr_u:55.39 psnr_v:55.60 
n:14 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.93 psnr_y:54.67 psnr_u:55.40 psnr_v:55.59 
n:15 mse_avg:0.21 mse_y:0.22 mse_u:0.19 mse_v:0.18 psnr_avg:54.90 psnr_y:54.65 psnr_u:55.34 psnr_v:55.57 
n:16 mse_avg:0.35 mse_y:0.42 mse_u:0.24 mse_v:0.20 psnr_avg:52.66 psnr_y:51.90 psnr_u:54.34 psnr_v:55.23 
n:17 mse_avg:0.63 mse_y:0.82 mse_u:0.29 mse_v:0.21 psnr_avg:50.15 psnr_y:49.01 psnr_u:53.49 psnr_v:54.97 
n:18 mse_avg:1.13 mse_y:1.51 mse_u:0.43 mse_v:0.32 psnr_avg:47.61 psnr_y:46.35 psnr_u:51.79 psnr_v:53.12 
n:19 mse_avg:2.46 mse_y:3.49 mse_u:0.44 mse_v:0.34 psnr_avg:44.23 psnr_y:42.70 psnr_u:51.68 psnr_v:52.81 
n:20 mse_avg:3.62 mse_y:5.22 mse_u:0.46 mse_v:0.37 psnr_avg:42.55 psnr_y:40.96 psnr_u:51.46 psnr_v:52.42 
n:21 mse_avg:5.30 mse_y:7.73 mse_u:0.49 mse_v:0.42 psnr_avg:40.88 psnr_y:39.25 psnr_u:51.21 psnr_v:51.94 
n:22 mse_avg:6.48 mse_y:9.48 mse_u:0.51 mse_v:0.44 psnr_avg:40.02 psnr_y:38.36 psnr_u:51.06 psnr_v:51.70 
n:23 mse_avg:7.61 mse_y:11.16 mse_u:0.54 mse_v:0.47 psnr_avg:39.32 psnr_y:37.65 psnr_u:50.77 psnr_v:51.40 
n:24 mse_avg:9.14 mse_y:13.45 mse_u:0.58 mse_v:0.47 psnr_avg:38.52 psnr_y:36.84 psnr_u:50.53 psnr_v:51.40 
n:25 mse_avg:12.01 mse_y:17.70 mse_u:0.70 mse_v:0.55 psnr_avg:37.34 psnr_y:35.65 psnr_u:49.67 psnr_v:50.72 
n:26 mse_avg:13.90 mse_y:20.49 mse_u:0.78 mse_v:0.62 psnr_avg:36.70 psnr_y:35.01 psnr_u:49.20 psnr_v:50.22 
n:27 mse_avg:14.88 mse_y:21.94 mse_u:0.84 mse_v:0.66 psnr_avg:36.41 psnr_y:34.72 psnr_u:48.90 psnr_v:49.94 
n:28 mse_avg:16.06 mse_y:23.68 mse_u:0.93 mse_v:0.70 psnr_avg:36.07 psnr_y:34.39 psnr_u:48.43 psnr_v:49.67 
n:29 mse_avg:16.90 mse_y:24.93 mse_u:0.97 mse_v:0.73 psnr_avg:35.85 psnr_y:34.16 psnr_u:48.28 psnr_v:49.52 
n:30 mse_avg:18.16 mse_y:26.79 mse_u:1.06 mse_v:0.75 psnr_avg:35.54 psnr_y:33.85 psnr_u:47.88 psnr_v:49.37 
n:31 mse_avg:19.14 mse_y:28.22 mse_u:1.16 mse_v:0.79 psnr_avg:35.31 psnr_y:33.63 psnr_u:47.48 psnr_v:49.15 
n:32 mse_avg:20.24 mse_y:29.82 mse_u:1.29 mse_v:0.84 psnr_avg:35.07 psnr_y:33.39 psnr_u:47.02 psnr_v:48.90 
n:33 mse_avg:20.44 mse_y:30.08 mse_u:1.45 mse_v:0.89 psnr_avg:35.03 psnr_y:33.35 psnr_u:46.53 psnr_v:48.66 
n:34 mse_avg:20.66 mse_y:30.33 mse_u:1.66 mse_v:1.00 psnr_avg:34.98 psnr_y:33.31 psnr_u:45.92 psnr_v:48.15 
n:35 mse_avg:20.70 mse_y:30.31 mse_u:1.90 mse_v:1.09 psnr_avg:34.97 psnr_y:33.32 psnr_u:45.34 psnr_v:47.76 
n:36 mse_avg:20.86 mse_y:30.52 mse_u:1.99 mse_v:1.11 psnr_avg:34.94 psnr_y:33.28 psnr_u:45.15 psnr_v:47.68 
n:37 mse_avg:21.22 mse_y:31.03 mse_u:2.08 mse_v:1.11 psnr_avg:34.86 psnr_y:33.21 psnr_u:44.95 psnr_v:47.66 
n:38 mse_avg:21.38 mse_y:31.30 mse_u:1.98 mse_v:1.09 psnr_avg:34.83 psnr_y:33.17 psnr_u:45.16 psnr_v:47.77 
