n:1 mse_avg:4459.30 mse_y:6285.72 mse_u:1376.40 mse_v:236.51 psnr_avg:11.64 psnr_y:10.15 psnr_u:16.74 psnr_v:24.39 
n:2 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.33 psnr_y:55.09 psnr_u:55.77 psnr_v:55.89 
n:3 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.31 psnr_y:55.08 psnr_u:55.74 psnr_v:55.88 
n:4 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.31 psnr_y:55.08 psnr_u:55.75 psnr_v:55.89 
n:5 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.30 psnr_y:55.07 psnr_u:55.76 psnr_v:55.89 
n:6 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.31 psnr_y:55.07 psnr_u:55.75 psnr_v:55.88 
n:7 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.29 psnr_y:55.05 psnr_u:55.75 psnr_v:55.89 
n:8 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.32 psnr_y:55.08 psnr_u:55.76 psnr_v:55.90 
n:9 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.29 psnr_y:55.05 psnr_u:55.72 psnr_v:55.89 
n:10 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.30 psnr_y:55.06 psnr_u:55.76 psnr_v:55.89 
n:11 mse_avg:0.19 mse_y:0.21 mse_u:0.17 mse_v:0.17 psnr_avg:55.25 psnr_y:55.01 psnr_u:55.74 psnr_v:55.84 
n:12 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.28 psnr_y:55.04 psnr_u:55.74 psnr_v:55.87 
n:13 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.26 psnr_y:55.02 psnr_u:55.72 psnr_v:55.86 
n:14 mse_avg:0.19 mse_y:0.20 mse_u:0.17 mse_v:0.17 psnr_avg:55.26 psnr_y:55.01 psnr_u:55.73 psnr_v:55.86 
n:15 mse_avg:0.20 mse_y:0.21 mse_u:0.18 mse_v:0.17 psnr_avg:55.23 psnr_y:54.99 psnr_u:55.66 psnr_v:55.83 
n:16 mse_avg:0.34 mse_y:0.40 mse_u:0.23 mse_v:0.18 psnr_avg:52.84 psnr_y:52.07 psnr_u:54.58 psnr_v:55.46 
n:17 mse_avg:0.61 mse_y:0.79 mse_u:0.27 mse_v:0.20 psnr_avg:50.30 psnr_y:49.14 psnr_u:53.76 psnr_v:55.19 
n:18 mse_avg:1.12 mse_y:1.49 mse_u:0.41 mse_v:0.31 psnr_avg:47.65 psnr_y:46.39 psnr_u:51.97 psnr_v:53.26 
